CBSA Code,CBSA Title,Principal City Name,FIPS State Code,FIPS Place Code
33140,"Michigan City-La Porte, IN",Michigan City,18,48798
33220,"Midland, MI",Midland,26,53780
33260,"Midland, TX",Midland,48,48072
33340,"Milwaukee-Waukesha, WI",Milwaukee,55,53000
33340,"Milwaukee-Waukesha, WI",Waukesha,55,84250
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Bloomington,27,6616
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Eagan,27,17288
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Eden Prairie,27,18116
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Edina,27,18188
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,27,43000
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minnetonka,27,43252
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Plymouth,27,51730
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",St. Paul,27,58000
33540,"Missoula, MT",Missoula,30,50200
33660,"Mobile, AL",Mobile,1,50000
33700,"Modesto, CA",Modesto,6,48354
33740,"Monroe, LA",Monroe,22,51410
33780,"Monroe, MI",Monroe,26,55020
33860,"Montgomery, AL",Montgomery,1,51000
34060,"Morgantown, WV",Morgantown,54,55756
34100,"Morristown, TN",Morristown,47,50280
34580,"Mount Vernon-Anacortes, WA",Anacortes,53,1990
34580,"Mount Vernon-Anacortes, WA",Mount Vernon,53,47560
34620,"Muncie, IN",Muncie,18,51876
34740,"Muskegon, MI",Muskegon,26,56320
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Conway,45,16405
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,45,49075
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",North Myrtle Beach,45,51280
34900,"Napa, CA",Napa,6,50258
34940,"Naples-Marco Island, FL",Marco Island,12,43083
34940,"Naples-Marco Island, FL",Naples,12,47625
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Franklin,47,27740
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Murfreesboro,47,51560
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville-Davidson metropolitan government (balance),47,52006
35100,"New Bern, NC",New Bern,37,46340
35300,"New Haven-Milford, CT",Milford city (balance),9,47515
35300,"New Haven-Milford, CT",New Haven,9,52000
35380,"New Orleans-Metairie, LA",Metairie,22,50115
35380,"New Orleans-Metairie, LA",New Orleans,22,55000
35620,"New York-Newark-Jersey City, NY-NJ-PA",Jersey City,34,36000
35620,"New York-Newark-Jersey City, NY-NJ-PA",Lakewood,34,38580
35620,"New York-Newark-Jersey City, NY-NJ-PA",Newark,34,51000
35620,"New York-Newark-Jersey City, NY-NJ-PA",New Brunswick,34,51210
35620,"New York-Newark-Jersey City, NY-NJ-PA",New York,36,51000
35620,"New York-Newark-Jersey City, NY-NJ-PA",White Plains,36,81677
35660,"Niles, MI",Niles,26,57760
35840,"North Port-Sarasota-Bradenton, FL",Bradenton,12,7950
35840,"North Port-Sarasota-Bradenton, FL",North Port,12,49675
35840,"North Port-Sarasota-Bradenton, FL",Sarasota,12,64175
35840,"North Port-Sarasota-Bradenton, FL",Venice,12,73900
35980,"Norwich-New London, CT",New London,9,52280
35980,"Norwich-New London, CT",Norwich,9,56200
36100,"Ocala, FL",Ocala,12,50750
36140,"Ocean City, NJ",Ocean City,34,54360
36220,"Odessa, TX",Odessa,48,53388
